ID	|V|	|E|	tw	time	evaltw	prunenum	funccallnum	evalGNNtime
    0	34	561	33.0	TimeOut
    1	29	169	16.0	TimeOut
    2	31	58	2.0	93.84683036804199	2	21	3638	76.47108936309814
    3	48	455	32.0	TimeOut
    4	41	378	23.0	TimeOut
    5	37	593	31.0	TimeOut
    6	34	154	16.0	TimeOut
    7	34	558	32.0	TimeOut
    8	37	232	18.0	TimeOut
    9	29	100	9.0	TimeOut
   10	13	32	5.0	39.59185481071472	4	9	4070	37.63829064369202
   11	17	42	3.0	59.881591796875	3	12	4106	55.15601849555969
   12	29	82	10.0	TimeOut
   13	36	603	31.0	TimeOut
   14	39	290	21.0	TimeOut
   15	46	528	22.0	TimeOut
   16	41	221	20.0	TimeOut
   17	44	448	25.0	TimeOut
   18	25	144	14.0	TimeOut
   19	32	443	27.0	TimeOut
   20	16	48	6.0	213.84083652496338	5	11	31451	198.0317599773407
   21	37	399	28.0	TimeOut
   22	38	297	20.0	TimeOut
   23	23	222	19.0	TimeOut
   24	45	416	26.0	TimeOut
   25	45	486	25.0	TimeOut
   26	43	780	37.0	TimeOut
   27	48	351	26.0	TimeOut
   28	10	22	4.0	5.6366517543792725	3	7	492	5.47089147567749
   29	44	108	13.0	TimeOut
   30	16	116	14.0	1566.6726970672607	9	5	369959	1438.2085773944855
   31	40	566	33.0	TimeOut
   32	37	252	20.0	TimeOut
   33	17	24	3.0	33.0955753326416	3	14	2701	30.910653352737427
   34	14	47	8.0	100.62973165512085	5	9	15321	94.58650803565979
   35	13	31	5.0	34.970608949661255	4	9	4138	33.2879843711853
   36	4	4	2.0	0.25550270080566406	2	1	22	0.25263428688049316
   37	29	70	8.0	TimeOut
   38	43	290	26.0	TimeOut
   39	46	304	8.0	TimeOut
   40	38	93	10.0	TimeOut
   41	47	226	22.0	TimeOut
   42	12	11	1.0	1.7343130111694336	1	8	93	1.684601068496704
   43	19	110	11.0	TimeOut
   44	33	210	16.0	TimeOut
   45	12	29	5.0	17.211562156677246	3	9	1835	16.497913360595703
   46	15	33	6.0	80.46961426734924	4	11	9555	75.6849250793457
   47	39	248	8.0	TimeOut
   48	15	105	14.0	1011.0901317596436	14	0	245761	942.3299241065979
   49	10	19	4.0	6.922674179077148	3	7	564	6.723168611526489
   50	34	205	19.0	TimeOut
   51	33	394	27.0	TimeOut
   52	33	116	13.0	TimeOut
   53	16	39	4.0	26.677403926849365	3	13	2237	24.827024698257446
   54	36	299	20.0	TimeOut
   55	18	138	14.0	TimeOut
   56	29	187	18.0	TimeOut
   57	34	208	8.0	TimeOut
   58	19	171	18.0	TimeOut
   59	38	682	34.0	TimeOut
   60	18	152	16.0	TimeOut
   61	44	809	38.0	TimeOut
   62	46	202	21.0	TimeOut
   63	43	352	24.0	TimeOut
   64	41	223	17.0	TimeOut
   65	39	741	38.0	TimeOut
   66	17	99	12.0	719.517017364502	6	11	117134	643.5428309440613
   67	18	116	13.0	1046.8684628009796	6	12	169700	915.5783247947693
   68	48	157	16.0	TimeOut
   69	27	351	26.0	TimeOut
   70	36	606	32.0	TimeOut
   71	27	92	10.0	TimeOut
   72	13	23	4.0	18.614527225494385	3	10	1599	17.795931816101074
   73	12	11	1.0	2.0096240043640137	1	8	93	1.9552109241485596
   74	30	73	6.0	TimeOut
   75	39	378	20.0	TimeOut
   76	28	49	6.0	TimeOut
   77	10	17	3.0	5.460957288742065	3	7	522	5.317862510681152
   78	45	164	4.0	TimeOut
   79	47	316	26.0	TimeOut
   80	30	81	9.0	TimeOut
   81	43	306	9.0	TimeOut
   82	23	231	20.0	TimeOut
   83	31	220	17.0	TimeOut
   84	37	377	27.0	TimeOut
   85	26	74	9.0	TimeOut
   86	47	510	27.0	TimeOut
   87	14	40	4.0	50.32569241523743	4	10	5845	47.36621069908142
   88	39	741	38.0	TimeOut
   89	12	64	10.0	83.17138981819153	6	4	13779	79.24156928062439
   90	37	101	9.0	TimeOut
   91	23	72	10.0	TimeOut
   92	39	378	20.0	TimeOut
   93	18	23	3.0	131.0548174381256	3	15	14854	122.3483657836914
   94	14	65	9.0	98.40286254882812	5	9	15375	91.63383865356445
   95	34	280	17.0	TimeOut
   96	25	150	12.0	TimeOut
   97	17	43	7.0	293.46561002731323	5	12	43825	270.11689019203186
   98	27	60	7.0	TimeOut
   99	48	1003	43.0	TimeOut
