ID	|V|	|E|	tw	time	evaltw	prunenum	funccallnum	evalGNNtime
    0	34	561	33.0	TimeOut
    1	29	169	16.0	TimeOut
    2	31	58	2.0	32.81428933143616	2	0	1477	26.168604135513306
    3	48	455	32.0	TimeOut
    4	41	378	23.0	TimeOut
    5	37	593	31.0	TimeOut
    6	34	154	16.0	TimeOut
    7	34	558	32.0	TimeOut
    8	37	232	18.0	3.9946205615997314	19	18	147	3.2722108364105225
    9	29	100	9.0	TimeOut
   10	13	32	5.0	124.49530458450317	5	0	16403	118.39882135391235
   11	17	42	3.0	47.76853942871094	3	0	3890	43.75745749473572
   12	29	82	10.0	TimeOut
   13	36	603	31.0	TimeOut
   14	39	290	21.0	TimeOut
   15	46	528	22.0	TimeOut
   16	41	221	20.0	TimeOut
   17	44	448	25.0	TimeOut
   18	25	144	14.0	TimeOut
   19	32	443	27.0	TimeOut
   20	16	48	6.0	768.0457806587219	6	0	124820	712.8344616889954
   21	37	399	28.0	TimeOut
   22	38	297	20.0	TimeOut
   23	23	222	19.0	TimeOut
   24	45	416	26.0	TimeOut
   25	45	486	25.0	TimeOut
   26	43	780	37.0	TimeOut
   27	48	351	26.0	TimeOut
   28	10	22	4.0	16.653467893600464	4	0	1979	16.142250776290894
   29	44	108	13.0	TimeOut
   30	16	116	14.0	TimeOut
   31	40	566	33.0	TimeOut
   32	37	252	20.0	TimeOut
   33	17	24	3.0	34.712202310562134	3	0	2955	32.30598998069763
   34	14	47	8.0	993.9771518707275	8	4	195451	940.5159771442413
   35	13	31	5.0	127.55912828445435	5	0	17232	121.59419870376587
   36	4	4	2.0	0.23521828651428223	2	4	9	0.23410701751708984
   37	29	70	8.0	TimeOut
   38	43	290	26.0	TimeOut
   39	46	304	8.0	TimeOut
   40	38	93	10.0	TimeOut
   41	47	226	22.0	TimeOut
   42	12	11	1.0	0.36891865730285645	1	0	22	0.3568720817565918
   43	19	110	11.0	TimeOut
   44	33	210	16.0	1.6393771171569824	17	16	57	1.5298032760620117
   45	12	29	5.0	94.92829155921936	5	3	12971	91.04844665527344
   46	15	33	6.0	583.1658573150635	6	0	96480	550.4982461929321
   47	39	248	8.0	TimeOut
   48	15	105	14.0	TimeOut
   49	10	19	4.0	22.134365797042847	4	0	2489	21.498199701309204
   50	34	205	19.0	TimeOut
   51	33	394	27.0	TimeOut
   52	33	116	13.0	TimeOut
   53	16	39	4.0	130.57854580879211	4	0	14416	121.51039052009583
   54	36	299	20.0	TimeOut
   55	18	138	14.0	TimeOut
   56	29	187	18.0	TimeOut
   57	34	208	8.0	TimeOut
   58	19	171	18.0	TimeOut
   59	38	682	34.0	TimeOut
   60	18	152	16.0	TimeOut
   61	44	809	38.0	TimeOut
   62	46	202	21.0	TimeOut
   63	43	352	24.0	TimeOut
   64	41	223	17.0	TimeOut
   65	39	741	38.0	TimeOut
   66	17	99	12.0	TimeOut
   67	18	116	13.0	TimeOut
   68	48	157	16.0	TimeOut
   69	27	351	26.0	TimeOut
   70	36	606	32.0	TimeOut
   71	27	92	10.0	TimeOut
   72	13	23	4.0	68.79514861106873	4	0	7939	65.75501585006714
   73	12	11	1.0	0.13811135292053223	1	0	22	0.1332552433013916
   74	30	73	6.0	TimeOut
   75	39	378	20.0	TimeOut
   76	28	49	6.0	TimeOut
   77	10	17	3.0	7.617333889007568	3	0	656	7.385274410247803
   78	45	164	4.0	TimeOut
   79	47	316	26.0	TimeOut
   80	30	81	9.0	TimeOut
   81	43	306	9.0	TimeOut
   82	23	231	20.0	TimeOut
   83	31	220	17.0	TimeOut
   84	37	377	27.0	TimeOut
   85	26	74	9.0	TimeOut
   86	47	510	27.0	TimeOut
   87	14	40	4.0	66.26917815208435	4	0	7353	62.171711444854736
   88	39	741	38.0	TimeOut
   89	12	64	10.0	439.6810562610626	10	5	87853	420.3493552207947
   90	37	101	9.0	TimeOut
   91	23	72	10.0	TimeOut
   92	39	378	20.0	TimeOut
   93	18	23	3.0	141.73409605026245	3	0	16113	132.13234424591064
   94	14	65	9.0	810.1045825481415	9	6	180928	765.5344934463501
   95	34	280	17.0	TimeOut
   96	25	150	12.0	TimeOut
   97	17	43	7.0	TimeOut
   98	27	60	7.0	TimeOut
   99	48	1003	43.0	TimeOut
